booking_reference,booked_at,route_id,status,departure_date,departure_time,passengers,cancellation_reason,decline_reason,payment_type,operator_id,operator_name,total_price,paid_cost,distinct_route,line_id,is_refundable,is_supplier_api,online_cancel_timestamp,approved_timestamp,decline_timestamp
BW791976,2023-01-31,bangkok-to-hua-hin,canceled,2023-04-20,15:00:00,1,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5b16429fb30fdb0001f3c703,Nor Neane,17.82,0,bangkok-to-hua-hin,5b1651252c6937000105d5a6,TRUE,FALSE,2023-01-31 20:39:38.870000 UTC,2023-01-31 15:36:55.242000 UTC,
BW792309,2023-01-31,koh-phi-phi-to-phuket,canceled,2023-02-24,9:00:00,2,online cancel - My plans changed,,paypal,5b165490b30fdb0001f3c707,Phi Phi Cruiser,32.5,0.38,koh-phi-phi-to-phuket,61c32dff3692164e6e696615,TRUE,FALSE,2023-02-16 06:08:07.005000 UTC,2023-02-11 03:36:29.340000 UTC,
BW792302,2023-01-31,phuket-to-koh-phi-phi,canceled,2023-02-21,7:30:00,2,online cancel - My plans changed,,paypal,5b165490b30fdb0001f3c707,Phi Phi Cruiser,32.5,0.38,koh-phi-phi-to-phuket,61c32dff3692164e6e696615,TRUE,FALSE,2023-02-16 06:09:17.325000 UTC,2023-02-11 03:35:47.615000 UTC,
BW790256,2023-01-31,ao-nang-to-don-sak,approved,2023-02-04,7:00:00,3,,missing_info_from_client,credit card,5b18bfd8df3f6d0001d6b546,Andaman Taxi,132.55,109.51,ao-nang-to-don-sak,5b1d10c3eea2f500014453fc,TRUE,FALSE,,2023-02-02 06:41:50.365000 UTC,2023-02-02 02:36:38.518000 UTC
BW790968,2023-01-31,phuket-to-koh-lanta,canceled,2023-02-08,12:30:00,2,online cancel - My plans changed,,credit card,5b1e8f1adf3f6d0001d6b56c,Satun Pakbara Speed Boat,90.06,36.93,koh-lanta-to-phuket,5b6b148ff0141c4d7557c112,TRUE,FALSE,2023-02-03 10:34:50.927000 UTC,2023-01-31 08:16:05.819000 UTC,
BW790668,2023-01-31,luang-prabang-to-hanoi,canceled,2023-02-11,18:00:00,2,,out_of_credit,credit card,5b29dc7ab30fdb0001f3c7a6,Naluang,114.16,0,hanoi-to-luang-prabang,5b2a20cde3aad400011bbe49,TRUE,FALSE,,,2023-02-10 12:42:51.512000 UTC
BW790522,2023-01-31,luang-prabang-to-hanoi,canceled,2023-02-11,18:00:00,2,,out_of_credit,credit card,5b29dc7ab30fdb0001f3c7a6,Naluang,114.16,0,hanoi-to-luang-prabang,5b2a20cde3aad400011bbe49,TRUE,FALSE,,,2023-02-10 12:43:12.315000 UTC
BW792082,2023-01-31,huay-xai-to-luang-prabang,canceled,2023-02-02,8:30:00,1,,supplier_unresponsive,paypal,5b29dc7ab30fdb0001f3c7a6,Naluang,21.9,0,huay-xai-to-luang-prabang,6023f1d23288ff363e916b78,TRUE,FALSE,,,2023-02-01 12:32:29.851000 UTC
BW790180,2023-01-31,bangkok-to-siem-reap,canceled,2023-02-28,8:00:00,1,online cancel - My plans changed,,paypal,5b34dc5cdf3f6d0001d6b610,Travel Mart,47.65,1.87,bangkok-to-siem-reap,5bbe0d129aaa20d5ea202e22,TRUE,FALSE,2023-02-19 01:30:46.453000 UTC,2023-01-31 02:23:11.590000 UTC,
BW792090,2023-01-31,koh-phangan-to-suratthani,canceled,2023-04-09,5:00:00,1,online cancel - My plans changed,,credit card,5b437826df3f6d0001d6b690,Raja Ferry,20.26,0,koh-phangan-to-suratthani,5b5ef56f7de38b602136f152,TRUE,FALSE,2023-01-31 16:40:50.180000 UTC,,
BW791224,2023-01-31,vientiane-to-udon-thani,canceled,2023-02-18,11:00:00,1,online cancel - My plans changed,,paypal,5b4eac37df3f6d0001d6b6ce,Soutchai Travel,10.53,0,udon-thani-to-vientiane,5b4f13b37314170001ce76a7,FALSE,FALSE,2023-02-02 15:46:25.698000 UTC,2023-02-01 03:27:12.653000 UTC,
BW791635,2023-01-31,ho-chi-minh-city-saigon-to-siem-reap,canceled,2023-02-14,7:00:00,1,,other,credit card,5fe45d69bd5da1000122f56f,Kumho Samco,28.27,-0.02,ho-chi-minh-city-saigon-to-siem-reap,5bdedf3b5fd690b5d12a20a4,FALSE,FALSE,,,2023-02-01 01:36:31.687000 UTC
BW791047,2023-01-31,ho-chi-minh-city-saigon-to-siem-reap,canceled,2023-03-20,15:00:00,1,,other,credit card,5fe45d69bd5da1000122f56f,Kumho Samco,30.91,0.02,ho-chi-minh-city-saigon-to-siem-reap,5bdedf3b5fd690b5d12a20a4,FALSE,FALSE,,,2023-02-01 01:37:08.606000 UTC
BW791312,2023-01-31,ho-chi-minh-city-saigon-to-phnom-penh,canceled,2023-02-04,8:30:00,2,online cancel - I found a cheaper trip elsewhere,,credit card,5fe45d69bd5da1000122f56f,Kumho Samco,86.36,0,ho-chi-minh-city-saigon-to-phnom-penh,5be806b7af6db46c09d5e878,FALSE,TRUE,2023-01-31 10:53:21.915000 UTC,,
BW792406,2023-01-31,ho-chi-minh-city-saigon-to-sihanoukville,canceled,2023-02-06,7:00:00,1,online cancel - My plans changed,other,paypal,5fe45d69bd5da1000122f56f,Kumho Samco,43.52,0,ho-chi-minh-city-saigon-to-sihanoukville,5bdee16c644c752568b4ecad,FALSE,FALSE,2023-02-01 17:59:52.005000 UTC,,2023-02-01 01:34:24.550000 UTC
BW791093,2023-01-31,koh-phi-phi-to-railay-beach,canceled,2023-02-04,15:30:00,1,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5b79328e8c7da10001603dae,Ao Nang Princess,14.75,0.13,koh-phi-phi-to-railay-beach,5b79504c79c7ae67b508fe62,TRUE,FALSE,2023-02-01 04:10:38.141000 UTC,2023-01-31 09:16:57.153000 UTC,
BW791243,2023-01-31,bangkok-to-trat,canceled,2023-02-03,11:00:00,1,online cancel - My plans changed,,paypal,5b84fa722668b70001c48121,Triple T,11.69,0,bangkok-to-trat,5b851b5021c90a60ae3a010e,TRUE,FALSE,2023-01-31 10:55:32.085000 UTC,,
BW791737,2023-01-31,playa-del-carmen-to-cozumel,canceled,2023-02-22,8:00:00,5,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5b8f908f72b33b0001ba4ec0,Winjet,119.2,0,cozumel-to-playa-del-carmen,5b8fa59b78bfa21970335d39,TRUE,FALSE,2023-01-31 14:00:04.036000 UTC,,
BW791367,2023-01-31,playa-del-carmen-to-cozumel,canceled,2023-02-02,15:00:00,1,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5bbf3b8372b33b0001ba50bf,Ultramar,13.33,8.66,cozumel-to-playa-del-carmen,5bbf5bd9d184bea1395f022b,TRUE,FALSE,2023-02-02 16:05:46.095000 UTC,2023-01-31 12:27:10.557000 UTC,
BW791358,2023-01-31,playa-del-carmen-to-cozumel,canceled,2023-02-02,9:00:00,1,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5bbf3b8372b33b0001ba50bf,Ultramar,13.33,8.66,cozumel-to-playa-del-carmen,5bbf5bd9d184bea1395f022b,TRUE,FALSE,2023-02-02 10:38:23.725000 UTC,2023-01-31 12:28:21.382000 UTC,
BW792367,2023-01-31,cancun-to-isla-mujeres,canceled,2023-02-02,15:30:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,paypal,5bbf3b8372b33b0001ba50bf,Ultramar,25.32,0,cancun-to-isla-mujeres,5bbf534dd184be77775f017a,TRUE,FALSE,2023-01-31 19:55:49.681000 UTC,,
BW790620,2023-01-31,cancun-to-isla-mujeres,canceled,2023-02-02,11:00:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,paypal,5bbf3b8372b33b0001ba50bf,Ultramar,23.02,0,cancun-to-isla-mujeres,5bbf58ecc78741002a0d2e6f,TRUE,FALSE,2023-01-31 05:21:42.652000 UTC,,
BW791463,2023-01-31,hanoi-to-ha-giang,canceled,2023-02-01,10:00:00,5,,fully_booked,credit card,5c2b55a09c824e00010b6f32,Truly Ha Giang,80.6,0,ha-giang-to-hanoi,5c2b5f16873b7d0fdac44ac5,TRUE,FALSE,,,2023-01-31 12:10:25.204000 UTC
BW791379,2023-01-31,cebu-to-bohol,canceled,2023-02-07,10:40:00,1,"online cancel - Booking error (wrong date, departure time, etc.)",,paypal,5c6147b2967ae90001ca6702,OceanJet,35.26,0,bohol-to-cebu,5c614b18f754b7954230fc35,FALSE,FALSE,2023-01-31 11:15:07.126000 UTC,,
BW791913,2023-01-31,iloilo-panay-island-to-bacolod,canceled,2023-05-10,11:00:00,1,,departure_cancelled,credit card,5c6147b2967ae90001ca6702,OceanJet,24.5,0,bacolod-to-iloilo-panay-island,5c614d7b750acb04507fea51,FALSE,FALSE,,,2023-04-26 05:40:31.540000 UTC
BW792493,2023-01-31,bohol-to-dumaguete,canceled,2023-02-21,10:40:00,2,"online cancel - Flight delay, can´t make it to the ferry",,paypal,5c6147b2967ae90001ca6702,OceanJet,41,31.19,bohol-to-dumaguete,5cd1917eb65e4287260d1b18,FALSE,FALSE,2023-02-16 14:25:29.050000 UTC,2023-02-01 06:52:53.589000 UTC,
BW791598,2023-01-31,lima-to-ica,canceled,2023-02-02,6:30:00,1,online cancel - My plans changed,,credit card,5c7d30076c4358000149c808,Cruz del Sur,32.26,0,ica-to-lima,630b83c3d92d16285f8eda3f,TRUE,FALSE,2023-01-31 16:21:39.874000 UTC,2023-01-31 16:19:13.714000 UTC,
BW790894,2023-01-31,hanoi-to-ninh-binh,canceled,2023-02-04,9:30:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5ca221d610b9540001b97b03,Ninh Binh Excursion,20.3,0.01,hanoi-to-ninh-binh,5ca22acba98277c5f6ea880d,TRUE,FALSE,2023-01-31 07:45:25.245000 UTC,2023-01-31 07:44:53.077000 UTC,
BW789957,2023-01-31,bogota-to-medellin,canceled,2023-02-03,7:40:00,1,,departure_does_not_exists,credit card,5cceae68a19b80000184986b,Rapido Ochoa,24.41,0,bogota-to-medellin,5ccec6fac3622529f8114e80,TRUE,FALSE,,,2023-01-31 00:01:23.982000 UTC
BW791322,2023-01-31,batangas-to-puerto-galera,canceled,2023-02-01,13:00:00,1,,schedule_is_not_open_yet,credit card,5d2d7be2dc7a32000131b873,Island Water,26.59,0,batangas-to-puerto-galera,5ea54e64a75ff4facb5cade5,FALSE,FALSE,,,2023-02-01 02:21:44.917000 UTC
BW790895,2023-01-31,da-lat-to-nha-trang,approved,2023-02-02,16:00:00,2,,departure_cancelled,credit card,5d381cde2eb77d00012cc637,Futa Bus,20.18,12.99,da-lat-to-nha-trang,5bd592a0dd89ad2f6f4f9d42,TRUE,FALSE,,2023-02-01 02:44:10.498000 UTC,2023-01-31 08:29:48.763000 UTC
BW790602,2023-01-31,krabi-to-koh-samui,canceled,2023-02-03,11:00:00,1,online cancel - My plans changed,,credit card,5d49322d8010450001f60b42,Krabi Sea Pearl,24.86,0.24,koh-samui-to-krabi,62df25b465749700ec861ba9,TRUE,FALSE,2023-02-01 12:22:24.532000 UTC,2023-01-31 05:13:46.070000 UTC,
BW790510,2023-01-31,koh-lanta-to-koh-samui,canceled,2023-02-06,7:00:00,1,online cancel - My plans changed,,credit card,5d49322d8010450001f60b42,Krabi Sea Pearl,34.71,0.33,koh-lanta-to-koh-samui,62df27046574973bb3863068,TRUE,FALSE,2023-02-02 01:24:59.416000 UTC,2023-01-31 05:23:56.920000 UTC,
BW790030,2023-01-31,penang-to-hat-yai,canceled,2023-02-13,8:30:00,1,,pickup_location_not_supported,credit card,5d494c984cad6f0001d1f687,KST Travel,15.82,0,hat-yai-to-penang,5d4956fdc48d4a12ef2be558,TRUE,FALSE,,,2023-02-08 09:19:17.955000 UTC
BW790672,2023-01-31,san-pedro-sula-to-la-ceiba,canceled,2023-03-12,11:15:00,1,online cancel -,,credit card,5d4ab7ff9e401e000157e04a,Mayan Caribbean Travel,26.9,0,la-ceiba-to-san-pedro-sula,62ebb6690a1059a3e0105622,TRUE,FALSE,2023-03-05 16:49:36.124000 UTC,2023-01-31 22:10:35.734000 UTC,
BW790274,2023-01-31,hanoi-to-ha-giang,canceled,2023-02-26,10:10:00,1,online cancel - My plans changed,,paypal,5d62877e6bd2410001965d8f,Cau Me,13.63,0,ha-giang-to-hanoi,5e3c1b5b8d5b773c6cf32dec,TRUE,FALSE,2023-01-31 03:45:58.916000 UTC,2023-01-31 03:10:56.800000 UTC,
BW791897,2023-01-31,chiang-mai-to-sukhothai,canceled,2023-02-14,12:50:00,2,online cancel - My plans changed,,credit card,5d9ae57fd72e710001e78a87,Sukhothai Wintour,24.2,19.59,chiang-mai-to-sukhothai,5d9aea9aba78374bf1a5cd6b,FALSE,FALSE,2023-02-13 08:56:01.351000 UTC,2023-02-01 04:29:53.201000 UTC,
BW792489,2023-01-31,railay-beach-to-koh-yao-noi,canceled,2023-02-04,13:40:00,2,online cancel - My plans changed,,credit card,5dc00d359896c70001a7f902,Koh Yao Sun Smile,45.92,0.46,koh-yao-noi-to-railay-beach,5dc02446f99f123c5f0a8785,TRUE,FALSE,2023-02-01 10:37:49.025000 UTC,2023-01-31 21:30:56.711000 UTC,
BW792248,2023-01-31,phuket-to-koh-phi-phi,canceled,2023-02-21,11:00:00,2,online cancel - I found a cheaper trip elsewhere,,paypal,5ddbbeac33a9cf00019d709e,Chureang Travel and Tour,27.6,0.01,koh-phi-phi-to-phuket,5ddbc3387c39976101ee3a95,TRUE,FALSE,2023-01-31 18:17:04.270000 UTC,2023-01-31 17:47:22.630000 UTC,
BW789958,2023-01-31,hat-yai-to-trang,canceled,2023-02-01,11:45:00,1,,departure_cancelled,credit card,5de3cc4c9896c70001b016f0,Sri Trang Tour,13.14,0,hat-yai-to-trang,5f22c93ec2813e291fbc193f,FALSE,FALSE,,,2023-01-31 04:27:59.669000 UTC
BW791548,2023-01-31,pokhara-to-kathmandu,canceled,2023-02-04,7:30:00,2,,fully_booked,credit card,5e5fb1f01d56310001c8d4ee,SWIFT Holidays Private LTD,39.4,0,kathmandu-to-pokhara,5fe9c8a0dac0fdea15f84617,TRUE,FALSE,,,2023-02-01 07:51:25.152000 UTC
BW791517,2023-01-31,kathmandu-to-pokhara,canceled,2023-02-02,7:00:00,2,,fully_booked,credit card,5e5fb1f01d56310001c8d4ee,SWIFT Holidays Private LTD,39.4,0,kathmandu-to-pokhara,5fe9c8a0dac0fdea15f84617,TRUE,FALSE,,,2023-02-01 07:53:17.452000 UTC
BW789972,2023-01-31,pereira-to-bogota,canceled,2023-02-03,10:00:00,1,online cancel - My plans changed,,credit card,5e738d861814cb00012c0546,Velotax,20.62,0,bogota-to-pereira,5e7728c863ce015235de50fe,TRUE,FALSE,2023-02-01 20:42:04.201000 UTC,,
BW791640,2023-01-31,isla-grande-rosario-islands-to-cartagena,canceled,2023-02-04,15:00:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,paypal,5e8af013fe1b4200013ce4c4,CTG Tours,35.5,0,cartagena-to-isla-grande-rosario-islands,60ed9245acf277a44cbabf46,TRUE,FALSE,2023-01-31 13:18:58.081000 UTC,2023-01-31 13:16:10.848000 UTC,
BW792053,2023-01-31,cartagena-to-santa-marta,canceled,2023-02-04,10:30:00,4,"online cancel - Booking error (wrong date, departure time, etc.)",,paypal,5e9c4c739c3b9300011745dc,Magic Tour Colombia,188.03,0,cartagena-to-santa-marta,5e9c5faceab2aa68d66a6f5c,TRUE,FALSE,2023-01-31 17:16:05.955000 UTC,2023-01-31 17:05:28.285000 UTC,
BW792216,2023-01-31,cartagena-to-santa-marta,canceled,2023-02-14,11:00:00,4,online cancel - My plans changed,,paypal,5e9c4c739c3b9300011745dc,Magic Tour Colombia,188.03,3.13,cartagena-to-santa-marta,5e9c5faceab2aa68d66a6f5c,TRUE,FALSE,2023-02-08 16:41:36.211000 UTC,2023-02-02 19:47:57.995000 UTC,
BW789994,2023-01-31,cancun-to-tulum,canceled,2023-01-31,20:00:00,2,,fully_booked,credit card,5ea00d5c9c3b930001179f84,Shuttle Central,99.42,0,cancun-to-tulum,5ea03dce76a5e27a3ad17203,TRUE,FALSE,,,2023-01-31 00:40:49.737000 UTC
BW791208,2023-01-31,oslob-cebu-to-panglao-bohol,canceled,2023-02-02,11:30:00,2,online cancel - My plans changed,,credit card,5eca50e112be0e00010a0c9b,Apekop Travel,36.56,0.08,oslob-cebu-to-panglao-bohol,5eca552737972fe04ab815c5,TRUE,FALSE,2023-02-01 01:37:54.155000 UTC,2023-01-31 10:13:31.763000 UTC,
BW792343,2023-01-31,pattaya-to-bangkok,canceled,2023-02-10,7:30:00,1,online cancel - Your customer service is garbage,,paypal,5eca77db12be0e00010a15c9,Thailand Limo by Datum,54.54,0,bangkok-to-pattaya,5eca7f3ca15a4b608cc74fdc,TRUE,FALSE,2023-02-08 08:23:03.933000 UTC,,
BW790783,2023-01-31,sapa-to-hanoi,canceled,2023-02-04,14:30:00,1,online cancel - My plans changed,,credit card,5ee76d633edb470001174cc4,Sapa Dragon Express,23.2,-0.02,hanoi-to-sapa,638edf3663c11588391e1475,TRUE,FALSE,2023-02-01 22:18:24.257000 UTC,2023-01-31 06:35:56.075000 UTC,
BW789960,2023-01-31,santiago-de-tolu-to-cartagena,canceled,2023-01-31,8:45:00,3,"online cancel - It is pending, I need more certainty ",,credit card,5ee776519e4d4000019f6bf2,Unitransco,37.15,0,cartagena-to-santiago-de-tolu,621e471ca855accb30275873,FALSE,FALSE,2023-01-30 23:51:10.751000 UTC,,
BW789968,2023-01-31,el-chalten-to-bariloche,canceled,2023-04-15,20:30:00,2,,departure_cancelled,credit card,5f0c7bf48e2a980001a5a789,Chalten Travel,405.1,0,bariloche-to-el-chalten,62d1149f1a810eb4a8737130,TRUE,FALSE,,,2023-01-31 15:22:05.779000 UTC
BW790003,2023-01-31,san-jose-to-cahuita,canceled,2023-02-01,7:30:00,2,,fully_booked,credit card,5f4b8ecdf1c2140001eef269,Interbus,108.78,0,cahuita-to-san-jose,5f4b94bfb56b19d17cd67044,TRUE,FALSE,,,2023-01-31 19:02:26.481000 UTC
BW792417,2023-01-31,liberia-to-la-fortuna,canceled,2023-02-07,9:20:00,1,online cancel - My plans changed,,credit card,5f4b8ecdf1c2140001eef269,Interbus,59.64,0,la-fortuna-to-liberia,636c8e31333c811d0d4b898f,TRUE,FALSE,2023-01-31 22:30:18.609000 UTC,2023-01-31 21:58:25.804000 UTC,
BW792099,2023-01-31,liberia-to-santa-teresa-beach,canceled,2023-02-01,15:00:00,2,online cancel - The booking hasn’t been confirm,,credit card,5f4b8ecdf1c2140001eef269,Interbus,137.08,0,liberia-to-santa-teresa-beach,636c8fcb3f7c271374be72c6,TRUE,FALSE,2023-01-31 17:32:38.635000 UTC,,
BW791838,2023-01-31,chiquila-to-cancun,canceled,2023-02-03,10:30:00,2,online cancel - My plans changed,,credit card,5f573c15a3b96b000139fd15,Transfer Holbox,59.48,0.11,cancun-to-chiquila,5f574134fc7fcf2fa548fa17,TRUE,TRUE,2023-02-02 14:41:28.201000 UTC,2023-01-31 14:35:17.427000 UTC,
BW791603,2023-01-31,holbox-to-cancun,canceled,2023-02-04,14:45:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5f573c15a3b96b000139fd15,Transfer Holbox,82.28,0.16,cancun-to-holbox,63738cf82bc7468fb552883d,TRUE,TRUE,2023-02-03 00:54:29.204000 UTC,2023-01-31 13:03:24.853000 UTC,
BW792466,2023-01-31,cancun-to-cancun,canceled,2023-03-17,19:00:00,2,online cancel -,missing_info_from_client,credit card,5f5893462c31d800019617e0,Price Travel,18.46,0,cancun-to-cancun,60a67e2546e05f3a140badea,TRUE,FALSE,2023-02-14 14:11:49.331000 UTC,,2023-02-01 16:08:12.124000 UTC
BW791302,2023-01-31,pattaya-to-koh-larn,canceled,2023-02-04,8:00:00,1,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5fa7edc5f2ba010001b81285,Song Pee Nong Speedboat,8.56,0,koh-larn-to-pattaya,5fa7f32240faa2913ddada96,FALSE,FALSE,2023-01-31 11:44:20.707000 UTC,,
BW792418,2023-01-31,manuel-antonio-to-san-jose,canceled,2023-03-17,8:00:00,2,"online cancel - Booking error (wrong date, departure time, etc.)",,credit card,5fac0a059f0a330001df8123,RideCR,87.99,0,manuel-antonio-to-san-jose,5fb63936ba7d57a1528270c2,TRUE,FALSE,2023-01-31 20:46:49.698000 UTC,,
BW789917,2023-01-31,brasilito-to-san-jose,canceled,2023-02-05,7:30:00,1,online cancel -,not_enough_passengers,credit card,5fac0a059f0a330001df8123,RideCR,47.26,0,brasilito-to-san-jose,632c333935ee66d482668252,TRUE,FALSE,2023-01-31 22:45:42.023000 UTC,,2023-01-31 00:10:04.906000 UTC
BW792009,2023-01-31,playa-grande-to-san-jose,approved,2023-02-02,8:30:00,4,,not_enough_passengers,credit card,5fac0a059f0a330001df8123,RideCR,92.62,151.2,playa-grande-to-san-jose,632c3c9035ee66347566ea1d,TRUE,FALSE,,2023-02-01 19:13:38.921000 UTC,2023-01-31 17:38:35.617000 UTC
BW790010,2023-01-31,la-fortuna-to-playa-grande,approved,2023-02-04,8:00:00,4,,not_enough_passengers,credit card,5fac0a059f0a330001df8123,RideCR,92.62,151.2,la-fortuna-to-playa-grande,632c71fad7f087606233fcdc,TRUE,FALSE,,2023-02-02 19:32:28.254000 UTC,2023-01-31 20:46:07.767000 UTC
BW792428,2023-01-31,chamonix-to-geneva,approved,2023-03-06,4:00:00,1,,missing_info_from_client,credit card,5fb68bcc3645d800014ed2ee,Mountain Drop-offs,53.59,76.24,chamonix-to-geneva,5fb69231b68e9db4ed3e434c,FALSE,FALSE,,2023-02-06 07:05:13.661000 UTC,2023-02-01 06:56:39.716000 UTC
